Instrument Type,Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs)
FUTCOM,09 Dec 2005,35515,35515,280024.84
FUTCOM,10 Dec 2005,2573,2573,20366.79
FUTCOM,12 Dec 2005,52553,52553,423268.08
FUTCOM,13 Dec 2005,44979,44979,353089.44
FUTCOM,14 Dec 2005,45425,45425,347950.26
FUTCOM,15 Dec 2005,52063,52063,390164.28
FUTCOM,17 Dec 2005,1700,1700,12689.71
FUTCOM,19 Dec 2005,27244,27244,204654.19
FUTCOM,20 Dec 2005,28375,28375,211288.31
FUTCOM,21 Dec 2005,38116,38116,278876
FUTCOM,22 Dec 2005,28230,28230,208738.65
FUTCOM,23 Dec 2005,26663,26663,198378.37
FUTCOM,24 Dec 2005,777,777,5789.1
FUTCOM,26 Dec 2005,1500,1500,11195.68
FUTCOM,27 Dec 2005,15480,15480,116201.06
FUTCOM,28 Dec 2005,30410,30410,231025.23
FUTCOM,29 Dec 2005,32081,32081,244532.74
FUTCOM,30 Dec 2005,18119,18119,137747.97
FUTCOM,31 Dec 2005,1216,1216,9291.11
FUTCOM,02 Jan 2006,1973,1973,15108.49
FUTCOM,03 Jan 2006,36999,36999,285885.21
FUTCOM,04 Jan 2006,47091,47091,367557.35
FUTCOM,05 Jan 2006,44472,44472,343676.62
FUTCOM,06 Jan 2006,40282,40282,312938.43
FUTCOM,07 Jan 2006,2677,2677,21039.73
FUTCOM,09 Jan 2006,50560,50560,396906.95
FUTCOM,10 Jan 2006,48359,48359,380372.31
FUTCOM,11 Jan 2006,33864,33864,266289.15
FUTCOM,12 Jan 2006,31797,31797,250048.3
FUTCOM,13 Jan 2006,30057,30057,238511.76
FUTCOM,14 Jan 2006,1830,1830,14641.7
FUTCOM,16 Jan 2006,14015,14015,113033.45
FUTCOM,17 Jan 2006,51275,51275,412332.56
FUTCOM,18 Jan 2006,48129,48129,381335.12
FUTCOM,19 Jan 2006,44683,44683,356748.67
FUTCOM,20 Jan 2006,63210,63210,510598.15
FUTCOM,21 Jan 2006,3095,3095,24809.76
FUTCOM,23 Jan 2006,43775,43775,351547.46
FUTCOM,24 Jan 2006,32037,32037,257105.47
FUTCOM,25 Jan 2006,42019,42019,339793.02
FUTCOM,27 Jan 2006,39567,39567,319011.43
FUTCOM,28 Jan 2006,1615,1615,13017.41
FUTCOM,30 Jan 2006,23508,23508,190025
FUTCOM,31 Jan 2006,34981,34981,284909.65
FUTCOM,01 Feb 2006,28466,28466,232028.57
FUTCOM,02 Feb 2006,25753,25753,211070.84
FUTCOM,03 Feb 2006,30949,30949,253595.54
FUTCOM,04 Feb 2006,1277,1277,10450.45
FUTCOM,06 Feb 2006,19353,19353,158990.12
FUTCOM,07 Feb 2006,50616,50616,410087.57
FUTCOM,08 Feb 2006,52396,52396,416982.57
FUTCOM,09 Feb 2006,35175,35175,284557.57
FUTCOM,10 Feb 2006,57615,57615,462715.09
FUTCOM,11 Feb 2006,1807,1807,14441.28
FUTCOM,13 Feb 2006,44661,44661,354027.01
FUTCOM,14 Feb 2006,51823,51823,407707.43
FUTCOM,15 Feb 2006,51084,51084,402776.44
FUTCOM,16 Feb 2006,40261,40261,316311.45
FUTCOM,17 Feb 2006,37954,37954,302527.88
FUTCOM,18 Feb 2006,1498,1498,12005.13
